company_name,job_title,core_requirements,deadline
Aquark Technologies,Project Title 1: Intuitive Interfaces for Quantum Technology,"[""Strong software development experience in Python"", ""Ability to work independently"", ""Interest in quantum technology"", ""Understanding of Graphical User Interface (GUI) design"", ""Ability to design intuitive navigation for non-expert users""]",2026-03-31
Aquark Technologies,Intuitive Interfaces for Quantum Technology,"[""Strong software development experience"", ""Python proficiency preferred"", ""Ability to work independently"", ""An interest in quantum technology""]",2026-03-31
Aquark Technologies,Integrated Photonics for Quantum Technologies,"[""Confident in performing and analysing experiments"", ""Understanding of the physics of waveguides, fibres, or photonics"", ""Eager and enthusiastic to learn"", ""Python coding experience preferred""]",2026-03-31
BEAT (Better Environment And Transport),ZEEFLEET – Further Research and Development into AI and Optimisation Techniques for the Transport Sector,"[""Data visualisation skills"", ""Simulation experience"", ""Machine Learning knowledge"", ""Optimisation techniques"", ""Programming experience"", ""Interest in AI techniques for data analysis"", ""Ability to work independently""]",2026-03-31
CQER-IQ,From Coupled Oscillators to Quantum Entanglement in Bose–Einstein Condensates,"[""2nd or 3rd year physics student"", ""Competence in Python programming"", ""Solid grounding in quantum mechanics"", ""Familiarity with numerical methods like NumPy and SciPy"", ""Interest in quantum foundations, gravity, or condensed matter""]",2026-03-31
CQER-IQ,From Brownian Motion to Diffusion Processes,"[""2nd or 3rd year physics or maths student"", ""Competence in Python or equivalent computational tools"", ""Grounding in classical mechanics and statistical physics"", ""Interest in energy, materials science, or applied mathematics""]",2026-03-31
Diamond Light Source,AI-Assisted Data Fusion and Segmentation for Full-Field Fluorescence Tomography on the I12 Beamline,"[""Basic understanding of synchrotron radiation"", ""Python programming skills"", ""Interest in imaging, AI, or computational physics"", ""Familiarity with AI tools like PyTorch and U-Net"", ""Ability to participate in beamline operations""]",2026-03-31
The Ditchley Foundation,Bridging Divides with Graph Networks,"[""Competent quantitative skills"", ""Coding ability in Python or R"", ""Experience with statistical software like SPSS"", ""Curious mind"", ""Interest in data science applications outside academia""]",2026-03-31
Drumgrange,Development of Acoustic Transmission Model,"[""Undergraduate or Masters student in STEM subject"", ""Strong analytical approach and problem-solving skills"", ""Interest in Applied Physics and Mathematical Modelling"", ""Solid experience in Python programming"", ""UK National or Citizen with 3 years residency""]",2026-03-31
Drumgrange,Transient Acoustic Analysis and Prediction Internship,"[""Strong background in data analysis"", ""Experience in acoustics or signal processing"", ""Knowledge of artificial intelligence or machine learning"", ""Solid experience in Python programming"", ""UK National or Citizen with 3 years residency""]",2026-03-31
Earth-i,Future Analytics for Nature through Observation and Modelling (FANTOM),"[""Interest in satellite Earth Observation"", ""Interest in AI techniques like computer vision and machine learning"", ""Basic experience with Python, NumPy, and Pandas"", ""Understanding of GIS tools like QGIS or ArcGIS"", ""Familiarity with EO data formats like Sentinel or Landsat""]",2026-03-31
Fat Fish Digital,"Development, Data, AI Summer Placement","[""Passion for AI, data, and problem-solving"", ""Strong analytical skills"", ""Willingness to learn new technologies"", ""Ability to work independently"", ""Programming experience""]",2026-03-31
Framestore,Summer Internship,"[""Entering final year of qualification"", ""UK citizen or valid residency/student visa"", ""Clear communication skills and collaborative mindset"", ""Good time management and ability to meet deadlines"", ""Ability to respond positively to feedback""]",2026-03-31
Indra Space,Investigation of Satellite Manoeuvre Detection and Pattern of Life Methods for Space Situational Awareness,"[""Interest in Orbital Mechanics"", ""Good research skills and critical thinking"", ""Interest in State Estimation Filters"", ""Interest in Time Series Machine Learning""]",2026-03-31
Insensys Ltd,"Condition Monitoring, Feasibility Studies","[""Maths or Physics student"", ""Ability to support in-house test activities"", ""Ability to support external shock and vibration testing"", ""Data analysis skills to validate results"", ""Documentation skills""]",2026-03-31
Institute of Cosmology and Gravitation,Revealing the Structure of the Universe Using Radio Telescopes (Cosmology Research Placement),"[""Physics or Maths degree student"", ""Experience or familiarity with Python coding"", ""Interest in astrophysics"", ""Ability to work with large-sky survey data""]",2026-03-31
Institute of Physics,Student Engagement Coordinator,"[""IOP member"", ""Science communication skills"", ""Strong Outlook and project coordination skills"", ""Experience of outreach or extracurricular engagement"", ""Dedication to making physics inclusive""]",2026-03-31
"Institute of Physics, Czech Academy of Science",Deep Learning Tools for Gravitational Wave Science,"[""Degree in Engineering, Physics, CS, or Maths"", ""Strong foundation in Python and PyTorch"", ""Analytical and problem-solving skills"", ""Excellent communication skills"", ""Eligible to work in the UK""]",2026-03-31
In2science,In2STEM Programme Intern,"[""Interest in promoting social mobility and diversity in STEM"", ""Understanding of barriers facing low socioeconomic students"", ""Strong organisation and prioritisation skills"", ""Excellent communication and interpersonal skills"", ""Ability to work effectively without direct supervision""]",2026-03-31
In2science,In2research Programme Intern,"[""Interest in promoting social mobility and diversity in STEM"", ""Understanding of barriers facing low socioeconomic students"", ""Strong organisation and prioritisation skills"", ""Excellent communication and interpersonal skills"", ""Administrative and data management skills""]",2026-03-31
IsardSAT,Earth Observation: Satellite Data Processing and Analysis,"[""Student in Maths, Physics, or Telecommunications Engineering"", ""Interest in Remote Sensing and Earth Observation"", ""Good knowledge of Python and/or MatLab"", ""Aptitude for problem-solving"", ""Self-motivated and able to work to tight deadlines""]",2026-03-31
MeVitae,Back End Developer Intern,"[""Expertise in Python, Go, Rust, or C#"", ""Ability to learn and adapt quickly"", ""Problem-solving abilities"", ""Collaborative teamwork skills"", ""Effective communication skills""]",2026-03-31
MeVitae,Customer Success & Implementations Intern,"[""Experience in Python or similar programming language"", ""Debugging skills"", ""Understanding of Dashboards and Configuration tools"", ""Basic concept of ticketing systems"", ""Effective communication skills""]",2026-03-31
MeVitae,Frontend Developer Intern,"[""High-level understanding of Python"", ""Proficient in testing and debugging"", ""Skills in creating responsive design layouts"", ""Experience with Version Control/Git"", ""UI/UX design sensitivity""]",2026-03-31
MeVitae,NLP Intern,"[""Interest in statistics and machine learning"", ""Basic Python programming knowledge"", ""Awareness of current trends in ML/AI"", ""Experience training and evaluating machine learning models"", ""Excellent written and verbal communication""]",2026-03-31
NATS,An Agent to Coordinate Aircraft Between Sectors,"[""Computer literate"", ""Interest in Data Analysis"", ""Good programming skills"", ""Interest in game theory"", ""Good attention to detail""]",2026-03-31
NPL,"Designing, Building, and Testing Enhancements to a Scanning Quantum Probe Microscope for Live Readout of Superconducting Circuits","[""Strong interest in experimental physics"", ""Good understanding of quantum mechanics"", ""Good understanding of electromagnetism"", ""Experience with soldering"", ""Knowledge of superconductivity""]",2026-03-31
Openshaw & Co,Trainee Patent Attorney,"[""Minimum 2:1 Honours Degree in Physics, Maths, or Engineering"", ""Aptitude for communicating complex information"", ""Meticulous with a keen eye for detail"", ""Inquisitive desire to advise on IP protection"", ""Confident""]",2026-03-31
Penta Group,Data Science Intern,"[""Coding skills in Python for Data Science"", ""Knowledge of Natural Language techniques"", ""Familiarity with Machine Learning basics"", ""Knowledge of SQL to manipulate datasets"", ""Ability to research and gather information independently""]",2026-03-31
QMUL,Neutrino Physics with the Short-Baseline Near Detector (SBND),"[""Coding skills in Python or C++"", ""Excellent problem-solving skills"", ""Interest in particle physics"", ""Interest in technical, laboratory-based work""]",2026-03-31
Qrometric,Investigating the Effects of Ice Morphology for Measurement of Frost Point Using Chilled Mirror Hygrometers,"[""Understanding of phase transitions in ice"", ""Understanding of crystalline structures"", ""Python programming skills"", ""Modelling and outside-of-the-box thinking"", ""Good problem-solving skills""]",2026-03-31
Radtest Ltd,Precision Dosimetry Mapping and Operational Optimization of a Professional Cobalt-60 Irradiation Facility and Electronics Laboratory,"[""Experience in coding and/or CAD"", ""Interest in electronics, nuclear, and space industry"", ""Reliability and ability to work in small teams"", ""Interest in business operations and workflow""]",2026-03-31
Rhizo PTX,Data-Driven Performance Analysis and Fluid Dynamics for Green Ammonia Electrolysers,"[""Intermediate Python proficiency (Pandas essential)"", ""Experience with CFD tools like SimScale or OpenFOAM"", ""Understanding of fluid mechanics and Reynolds numbers"", ""Basic electrochemistry knowledge"", ""Problem-solver mindset""]",2026-03-31
RNLI,Lifeboat Station Environmental Insight App,"[""Knowledge of Python (Pandas, Matplotlib, Streamlit)"", ""Data visualisation skills"", ""Experience with Azure Databricks preferred""]",2026-03-31
Royal Marsden Hospital,Using MPCDataExplorer to Organise PTW Array Beam Data,"[""Interest in data handling and radiation science"", ""Computer literate"", ""Interest in Data Analysis"", ""Good attention to detail"", ""Awareness of hospital environment considerations""]",2026-03-31
Royal Surrey County Hospital,Virtual Clinical Trials in Molecular Radiotherapy,"[""Interest in clinical medical physics"", ""Reasonable Python coding experience"", ""Understanding of nuclear and applied radiation physics"", ""Good time management and self-motivation"", ""Attention to detail""]",2026-03-31
Royal Surrey County Hospital,Evaluation of automated planning methods for Head and Neck cancer,"[""Computer literate"", ""Interest in Data Analysis"", ""Good attention to detail"", ""Desire to use scientific skills for patient care"", ""Comfortable in clinical environment""]",2026-03-31
South West London Integrated Care Board,Public Health Intelligence/Population Health Management,"[""Understanding of statistics"", ""Interest in data and public health"", ""Knowledge of coding"", ""Effective manipulation skills of large datasets""]",2026-03-31
Thames Water,Thames Water Summer Placement,"[""Interest in the water industry"", ""Enthusiasm to work as part of a team"", ""Ability to analyse complex information"", ""Technical solution design and delivery skills""]",2026-03-31
UKAEA,Development of Duct / Baffle Systems to Reduce the Flux of Neutral Particles Onto the Optical Components,"[""Knowledge of statistical mechanics of high Knudsen number flows"", ""Understanding of modelling optical systems"", ""Interest in tokamak diagnostic systems"", ""Interest in physics simulations""]",2026-03-31
UKAEA,Accelerating the Simulation of Rarified Gas Flows to Guide Tokamak Design,"[""Knowledge of statistical mechanics of high Knudsen number flows"", ""Interest in machine learning for physics simulations"", ""Ability to identify physics simulation methods"", ""Interest in high performance computing""]",2026-03-31
UKAEA,Cross-code Comparison of Interpretive Core Plasma Modelling for High-performing MAST-U Discharges,"[""Interest in plasma physics and fusion energy"", ""Motivation to learn plasma physics modelling tools"", ""Experience in programming for data analysis"", ""Understanding of equality, diversity and inclusion principles""]",2026-03-31
un:hurd Music,Playlist Recommendation Engines,"[""Strong Python coding skills"", ""Experience handling complex datasets"", ""Machine learning experience"", ""Familiarity with version control (Git)"", ""Experience querying databases (SQL)""]",2026-03-31
University College London,Quantum Technologies Research Summer Placement Scheme,"[""Enrolled on UK undergraduate degree"", ""Penultimate year of study"", ""Interest in science & technology research"", ""No previous experience required""]",2026-04-10
University Hospital College London,Development of a Web-based Database Platform to Support Quality Assurance Processes in the Proton Beam Therapy (PBT) Unit,"[""Interest in software development and data science"", ""Basic experience with Python"", ""Willingness to learn SQL and web development"", ""Good problem-solving skills"", ""Interest in medical physics or healthcare technology""]",2026-03-31
University Hospital Southampton,Clinical Scientific Computing to Improve Image Processing Workflows Through Increased Levels of Automation,"[""Quick and disciplined self-learner"", ""Programming experience in Python"", ""Experience in image processing or Machine Learning"", ""Ability to work well with other scientists"", ""Good time management and attention to detail""]",2026-03-31
